Feature,Importance
freeCashFlowPerShare,0.030008437637467807
cashPerShare,0.028416211491214115
lt_ppent,0.028359651424469914
intcov_ratio,0.02740053172830868
ebitPerRevenue,0.02451277774819432
grossProfitMargin,0.024272866198232435
GProf,0.022733896326306742
inv_turn,0.02118111341489743
intcov,0.02081479954784302
divyield,0.01969237738776735
rd_sale,0.019568938185951283
invt_act,0.019414885551131394
daysOfSalesOutstanding,0.01911331285427228
cash_debt,0.01856450785263755
operatingProfitMargin,0.01770583984845521
rect_act,0.017692765692064707
sale_equity,0.01721281042039795
fixedAssetTurnover,0.017011710603064424
payablesTurnover,0.01683795816855256
cash_conversion,0.016161169791795226
lt_debt,0.015953452657069447
assetTurnover,0.01570818685869012
int_debt,0.015624404971838425
sale_invcap,0.015537020610268897
int_totdebt,0.01477857041284479
CAPEI,0.014693014903415633
pretret_noa,0.014303545856106433
cfm,0.014063456661414144
de_ratio,0.013833987277310581
pretaxProfitMargin,0.013823248727898406
cash_lt,0.013819396017109235
debt_assets,0.013754362570059664
ptpm,0.013675605645065878
debt_at,0.013535941674550836
fcf_ocf,0.01318787051079012
bm,0.0131646397019515
effectiveTaxRate,0.013134256516620601
evm,0.01290265617188285
cashRatio,0.01242242014237313
curr_debt,0.012401660335139552
debt_ebitda,0.012220622095195222
netProfitMargin,0.012094946470834657
enterpriseValueMultiple,0.01204187642258373
returnOnAssets,0.011824868381890199
debtEquityRatio,0.01168962022659023
debt_capital,0.011637436556596248
quickRatio,0.011492248159158657
currentRatio,0.011342627986841864
dltt_be,0.011114599124885709
profit_lct,0.011113854213619314
returnOnCapitalEmployed,0.011046700251639495
debtRatio,0.011007456117835348
totdebt_invcap,0.01069074165642508
adv_sale,0.010587290951558961
ocf_lct,0.010183449860995829
equity_invcap,0.010009899171439884
aftret_equity,0.009857778447145436
capital_ratio,0.009742887186422883
pe_op_dil,0.00973527057874616
companyEquityMultiplier,0.009519012950916754
aftret_eq,0.00898233277980301
debt_invcap,0.008842238046598472
aftret_invcapx,0.008817330246319274
pe_op_basic,0.008776617925073801
returnOnEquity,0.008713934892079334
short_debt,0.007584504260486129
accrual,0.007118210777482318
operatingCashFlowSalesRatio,0.00689764197501121
freeCashFlowOperatingCashFlowRatio,0.0049671130379846115
operatingCashFlowPerShare,0.0033526291524157087
staff_sale,0.0
