Feature,Importance
freeCashFlowPerShare,0.06514834601510573
intcov_ratio,0.04417460798796185
grossProfitMargin,0.040787472603420576
cashPerShare,0.03827221033246361
payablesTurnover,0.03820405069795624
ebitPerRevenue,0.03298822810243631
lt_ppent,0.030929886744129092
rd_sale,0.030069833439393356
divyield,0.02884721428971148
evm,0.028601755913138367
rect_act,0.028097701020866644
daysOfSalesOutstanding,0.025935119988500222
sale_equity,0.025153924639333254
cash_debt,0.02392663609175982
GProf,0.022227770968563907
debt_at,0.021781873174935174
operatingProfitMargin,0.020841477701991375
CAPEI,0.020258575387486332
cash_lt,0.017868978983613917
invt_act,0.016634831415108867
int_totdebt,0.016519445021217806
lt_debt,0.016155118693168945
pretret_noa,0.015418153168271278
netProfitMargin,0.014772159338065258
fixedAssetTurnover,0.01473640040191367
pretaxProfitMargin,0.014338100685443556
enterpriseValueMultiple,0.014304212111925988
effectiveTaxRate,0.014065680731807745
adv_sale,0.01392293954780283
returnOnAssets,0.013559375749331906
assetTurnover,0.012957248971933644
equity_invcap,0.011619726251985435
sale_invcap,0.010948714754836235
bm,0.010899876658705423
int_debt,0.010783711210081584
cashRatio,0.0104835454841891
profit_lct,0.010236993393314433
currentRatio,0.010100597766396364
operatingCashFlowSalesRatio,0.00979763365309391
cfm,0.009277711963335766
debt_capital,0.008720591463325256
debt_assets,0.008641408888607371
ptpm,0.007967494679033843
fcf_ocf,0.007445985787459816
debt_ebitda,0.00730892667027311
short_debt,0.00730726837569657
pe_op_basic,0.006400365221709715
returnOnCapitalEmployed,0.006360500525422006
dltt_be,0.006320527839024823
inv_turn,0.006020445079960161
intcov,0.0058760403855855
totdebt_invcap,0.005696707983380444
ocf_lct,0.005688011478884665
curr_debt,0.0056861723960523166
cash_conversion,0.005667416652959319
pe_op_dil,0.00478910046433291
debtRatio,0.004646866412044156
aftret_invcapx,0.004266134593525633
quickRatio,0.004129499586864745
de_ratio,0.003962474482309335
accrual,0.0036877655108776405
returnOnEquity,0.0034991642199985046
aftret_eq,0.0026448140362034483
debt_invcap,0.002190387790002946
debtEquityRatio,0.0019494720559049474
aftret_equity,0.001839591279916378
operatingCashFlowPerShare,0.0018057951695373822
capital_ratio,0.0014089765424018707
companyEquityMultiplier,0.0012502848075278154
freeCashFlowOperatingCashFlowRatio,0.0011739685664803642
staff_sale,0.0
