Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.8379629629629629,0.8444444444444444
1.0,1.0,0.8379629629629629,0.8444444444444444
1.0,5.0,0.8287037037037037,0.8370044052863438
1.0,10.0,0.8194444444444444,0.829694323144105
1.0,100.0,0.8287037037037037,0.8370044052863438
2.0,0.5,0.5092592592592593,0.576
2.0,1.0,0.49074074074074076,0.56
2.0,5.0,0.46296296296296297,0.5284552845528454
2.0,10.0,0.48148148148148145,0.5447154471544715
2.0,100.0,0.4861111111111111,0.5469387755102041
3.0,0.5,0.7731481481481481,0.8032128514056225
3.0,1.0,0.8055555555555556,0.8264462809917356
3.0,5.0,0.8101851851851852,0.8284518828451883
3.0,10.0,0.7962962962962963,0.8211382113821138
3.0,100.0,0.7962962962962963,0.8181818181818182
4.0,0.5,0.5509259259259259,0.6420664206642067
4.0,1.0,0.5509259259259259,0.6394052044609666
4.0,5.0,0.5324074074074074,0.61003861003861
4.0,10.0,0.5185185185185185,0.5968992248062015
4.0,100.0,0.5324074074074074,0.6039215686274509
