Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.9247787610619469,0.9251101321585904
1.0,1.0,0.9380530973451328,0.9375
1.0,5.0,0.9380530973451328,0.9375
1.0,10.0,0.9380530973451328,0.9375
1.0,100.0,0.9380530973451328,0.9375
2.0,0.5,0.4778761061946903,0.4778761061946903
2.0,1.0,0.4778761061946903,0.43809523809523804
2.0,5.0,0.4557522123893805,0.38805970149253727
2.0,10.0,0.4646017699115044,0.39800995024875624
2.0,100.0,0.4911504424778761,0.43902439024390244
3.0,0.5,0.9203539823008849,0.9203539823008849
3.0,1.0,0.9292035398230089,0.9292035398230089
3.0,5.0,0.9380530973451328,0.9375
3.0,10.0,0.9380530973451328,0.9375
3.0,100.0,0.9380530973451328,0.9375
4.0,0.5,0.4778761061946903,0.43809523809523804
4.0,1.0,0.47345132743362833,0.40201005025125625
4.0,5.0,0.49557522123893805,0.42424242424242425
4.0,10.0,0.4911504424778761,0.4221105527638191
4.0,100.0,0.4911504424778761,0.4221105527638191
