Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.7909090909090909,0.7982456140350878
1.0,1.0,0.7818181818181819,0.7894736842105264
1.0,5.0,0.8045454545454546,0.8185654008438819
1.0,10.0,0.8090909090909091,0.823529411764706
1.0,100.0,0.8136363636363636,0.8270042194092827
2.0,0.5,0.5681818181818182,0.45086705202312144
2.0,1.0,0.5454545454545454,0.5192307692307692
2.0,5.0,0.5227272727272727,0.5977011494252874
2.0,10.0,0.5045454545454545,0.5758754863813229
2.0,100.0,0.5227272727272727,0.5816733067729083
3.0,0.5,0.7954545454545454,0.784688995215311
3.0,1.0,0.7909090909090909,0.7870370370370371
3.0,5.0,0.7863636363636364,0.7892376681614349
3.0,10.0,0.7954545454545454,0.7963800904977376
3.0,100.0,0.7227272727272728,0.7530364372469636
4.0,0.5,0.5181818181818182,0.2837837837837838
4.0,1.0,0.5181818181818182,0.6074074074074074
4.0,5.0,0.5,0.5955882352941176
4.0,10.0,0.5,0.5955882352941176
4.0,100.0,0.4909090909090909,0.5725190839694656
