Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.7592592592592593,0.7719298245614035
1.0,1.0,0.7731481481481481,0.7802690582959642
1.0,5.0,0.7777777777777778,0.7818181818181819
1.0,10.0,0.7824074074074074,0.7853881278538812
1.0,100.0,0.7870370370370371,0.7927927927927928
2.0,0.5,0.5138888888888888,0.5205479452054794
2.0,1.0,0.49074074074074076,0.48598130841121495
2.0,5.0,0.5324074074074074,0.5550660792951542
2.0,10.0,0.5324074074074074,0.5429864253393665
2.0,100.0,0.5185185185185185,0.5272727272727272
3.0,0.5,0.7546296296296297,0.7725321888412018
3.0,1.0,0.7453703703703703,0.759825327510917
3.0,5.0,0.7453703703703703,0.759825327510917
3.0,10.0,0.7453703703703703,0.759825327510917
3.0,100.0,0.7407407407407407,0.7647058823529412
4.0,0.5,0.4722222222222222,0.24
4.0,1.0,0.4722222222222222,0.2875
4.0,5.0,0.47685185185185186,0.38251366120218583
4.0,10.0,0.4537037037037037,0.4158415841584158
4.0,100.0,0.4675925925925926,0.5525291828793774
