Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7727272727272727,0.761904761904762
0.5,1.0,0.7454545454545455,0.7454545454545455
0.5,5.0,0.6636363636363637,0.6864406779661018
0.5,10.0,0.6590909090909091,0.6781115879828327
1.0,0.5,0.7318181818181818,0.7064676616915424
1.0,1.0,0.7318181818181818,0.7255813953488373
1.0,5.0,0.6818181818181818,0.6875
1.0,10.0,0.6818181818181818,0.6875
1.5,0.5,0.6590909090909091,0.6153846153846153
1.5,1.0,0.6818181818181818,0.6728971962616823
1.5,5.0,0.6772727272727272,0.6816143497757847
1.5,10.0,0.6772727272727272,0.6816143497757847
2.0,0.5,0.65,0.6130653266331658
2.0,1.0,0.65,0.6280193236714976
2.0,5.0,0.6863636363636364,0.6877828054298641
2.0,10.0,0.6863636363636364,0.6877828054298641
2.5,0.5,0.5863636363636363,0.45508982035928136
2.5,1.0,0.6318181818181818,0.5970149253731344
2.5,5.0,0.65,0.6384976525821596
2.5,10.0,0.65,0.6384976525821596
3.0,0.5,0.5727272727272728,0.4470588235294118
3.0,1.0,0.5954545454545455,0.518918918918919
3.0,5.0,0.6318181818181818,0.6009852216748768
3.0,10.0,0.6318181818181818,0.6009852216748768
3.5,0.5,0.5818181818181818,0.488888888888889
3.5,1.0,0.5681818181818182,0.4632768361581921
3.5,5.0,0.6090909090909091,0.5473684210526315
3.5,10.0,0.6090909090909091,0.5473684210526315
4.0,0.5,0.5954545454545455,0.6536964980544747
4.0,1.0,0.5818181818181818,0.4523809523809524
4.0,5.0,0.5818181818181818,0.488888888888889
4.0,10.0,0.5818181818181818,0.488888888888889
4.5,0.5,0.5454545454545454,0.6503496503496503
4.5,1.0,0.5636363636363636,0.39999999999999997
4.5,5.0,0.5681818181818182,0.4571428571428572
4.5,10.0,0.5681818181818182,0.4571428571428572
5.0,0.5,0.5227272727272727,0.6464646464646464
5.0,1.0,0.5545454545454546,0.3717948717948718
5.0,5.0,0.5636363636363636,0.42857142857142855
5.0,10.0,0.5636363636363636,0.42857142857142855
10.0,0.5,0.4863636363636364,0.6479750778816199
10.0,1.0,0.5227272727272727,0.2953020134228188
10.0,5.0,0.5272727272727272,0.30666666666666664
10.0,10.0,0.5272727272727272,0.30666666666666664
