n,accuracy,f1 score
10.0,0.8017241379310345,0.8
20.0,0.8146551724137931,0.8286852589641435
30.0,0.8103448275862069,0.824
40.0,0.8103448275862069,0.8211382113821138
50.0,0.8103448275862069,0.8196721311475409
60.0,0.8103448275862069,0.8196721311475409
70.0,0.8060344827586207,0.8148148148148148
80.0,0.7931034482758621,0.8016528925619835
90.0,0.8060344827586207,0.8132780082987552
100.0,0.7931034482758621,0.8032786885245901
110.0,0.7931034482758621,0.8032786885245901
120.0,0.7887931034482759,0.7983539094650205
130.0,0.7887931034482759,0.7983539094650205
140.0,0.7887931034482759,0.7983539094650205
150.0,0.7974137931034483,0.8065843621399178
160.0,0.7931034482758621,0.8016528925619835
170.0,0.7974137931034483,0.8065843621399178
180.0,0.7931034482758621,0.8016528925619835
190.0,0.7931034482758621,0.8016528925619835
200.0,0.7974137931034483,0.8049792531120333
