n,accuracy,f1 score
10.0,0.7916666666666666,0.8
20.0,0.7962962962962963,0.808695652173913
30.0,0.8055555555555556,0.817391304347826
40.0,0.7962962962962963,0.8070175438596491
50.0,0.7962962962962963,0.8103448275862069
60.0,0.7916666666666666,0.8085106382978723
70.0,0.8055555555555556,0.817391304347826
80.0,0.8009259259259259,0.8122270742358079
90.0,0.8009259259259259,0.8138528138528139
100.0,0.8009259259259259,0.8138528138528139
110.0,0.8055555555555556,0.8189655172413792
120.0,0.8101851851851852,0.825531914893617
130.0,0.8148148148148148,0.829059829059829
140.0,0.8101851851851852,0.8225108225108225
150.0,0.8055555555555556,0.8189655172413792
160.0,0.8009259259259259,0.8154506437768241
170.0,0.8009259259259259,0.8154506437768241
180.0,0.7962962962962963,0.811965811965812
190.0,0.8009259259259259,0.8154506437768241
200.0,0.7962962962962963,0.811965811965812
