n,accuracy,f1 score
10.0,0.7758620689655172,0.7678571428571429
20.0,0.7844827586206896,0.7807017543859649
30.0,0.7758620689655172,0.7699115044247786
40.0,0.771551724137931,0.7644444444444446
50.0,0.771551724137931,0.7644444444444446
60.0,0.7801724137931034,0.7733333333333334
70.0,0.7758620689655172,0.7678571428571429
80.0,0.7758620689655172,0.7678571428571429
90.0,0.7758620689655172,0.7678571428571429
100.0,0.7758620689655172,0.7678571428571429
110.0,0.7801724137931034,0.7733333333333334
120.0,0.7801724137931034,0.7733333333333334
130.0,0.7801724137931034,0.7733333333333334
140.0,0.7844827586206896,0.7787610619469026
150.0,0.7801724137931034,0.7733333333333334
160.0,0.771551724137931,0.7623318385650224
170.0,0.7801724137931034,0.7733333333333334
180.0,0.7758620689655172,0.7678571428571429
190.0,0.771551724137931,0.7623318385650224
200.0,0.771551724137931,0.7623318385650224
