Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.9203539823008849,0.9210526315789473
1.0,1.0,0.9336283185840708,0.9333333333333333
1.0,5.0,0.9336283185840708,0.9333333333333333
1.0,10.0,0.9336283185840708,0.9333333333333333
1.0,100.0,0.9424778761061947,0.9427312775330398
2.0,0.5,0.5353982300884956,0.4827586206896552
2.0,1.0,0.5309734513274337,0.5267857142857143
2.0,5.0,0.5486725663716814,0.48484848484848486
2.0,10.0,0.5486725663716814,0.48484848484848486
2.0,100.0,0.5530973451327433,0.4873096446700508
3.0,0.5,0.9380530973451328,0.9385964912280702
3.0,1.0,0.9380530973451328,0.9385964912280702
3.0,5.0,0.9380530973451328,0.9385964912280702
3.0,10.0,0.9380530973451328,0.9385964912280702
3.0,100.0,0.9380530973451328,0.9385964912280702
4.0,0.5,0.5309734513274337,0.5225225225225225
4.0,1.0,0.5486725663716814,0.48484848484848486
4.0,5.0,0.5530973451327433,0.48205128205128206
4.0,10.0,0.5530973451327433,0.48205128205128206
4.0,100.0,0.5530973451327433,0.48205128205128206
