Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.7654867256637168,0.7644444444444445
1.0,1.0,0.7566371681415929,0.7619047619047619
1.0,5.0,0.7699115044247787,0.7796610169491525
1.0,10.0,0.7654867256637168,0.7763713080168776
1.0,100.0,0.7654867256637168,0.774468085106383
2.0,0.5,0.5309734513274337,0.6214285714285714
2.0,1.0,0.5221238938053098,0.5970149253731343
2.0,5.0,0.4823008849557522,0.49785407725321895
2.0,10.0,0.504424778761062,0.5371900826446281
2.0,100.0,0.5088495575221239,0.5152838427947598
3.0,0.5,0.7522123893805309,0.730769230769231
3.0,1.0,0.7610619469026548,0.7476635514018691
3.0,5.0,0.7300884955752213,0.7264573991031391
3.0,10.0,0.7389380530973452,0.7330316742081447
3.0,100.0,0.7256637168141593,0.7181818181818181
4.0,0.5,0.5796460176991151,0.6843853820598006
4.0,1.0,0.5707964601769911,0.6734006734006734
4.0,5.0,0.504424778761062,0.44000000000000006
4.0,10.0,0.48672566371681414,0.40206185567010305
4.0,100.0,0.504424778761062,0.41666666666666663
