n,accuracy,f1 score
10.0,0.9545454545454546,0.9532710280373831
20.0,0.9636363636363636,0.9629629629629629
30.0,0.9636363636363636,0.9629629629629629
40.0,0.9727272727272728,0.9727272727272728
50.0,0.9727272727272728,0.9727272727272728
60.0,0.9727272727272728,0.9727272727272728
70.0,0.9727272727272728,0.9727272727272728
80.0,0.9727272727272728,0.9727272727272728
90.0,0.9727272727272728,0.9727272727272728
100.0,0.9727272727272728,0.9727272727272728
110.0,0.9727272727272728,0.9727272727272728
120.0,0.9727272727272728,0.9727272727272728
130.0,0.9727272727272728,0.9727272727272728
140.0,0.9727272727272728,0.9727272727272728
150.0,0.9727272727272728,0.9727272727272728
160.0,0.9727272727272728,0.9727272727272728
170.0,0.9727272727272728,0.9727272727272728
180.0,0.9727272727272728,0.9727272727272728
190.0,0.9727272727272728,0.9727272727272728
200.0,0.9727272727272728,0.9727272727272728
