hidden layer neurons,momentum constant,epochs,accuracy,f1 score
10.0,0.1,1000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,2000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,3000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,4000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,5000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,6000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,7000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,8000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,9000.0,0.9336283185840708,0.9344978165938865
10.0,0.1,10000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,1000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,2000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,3000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,4000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,5000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,6000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,7000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,8000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,9000.0,0.9336283185840708,0.9344978165938865
10.0,0.2,10000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,1000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,2000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,3000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,4000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,5000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,6000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,7000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,8000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,9000.0,0.9336283185840708,0.9344978165938865
10.0,0.30000000000000004,10000.0,0.9336283185840708,0.9344978165938865
10.0,0.4,1000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,2000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,3000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,4000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,5000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,6000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,7000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,8000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,9000.0,0.9557522123893806,0.9565217391304347
10.0,0.4,10000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,1000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,2000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,3000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,4000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,5000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,6000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,7000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,8000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,9000.0,0.9557522123893806,0.9565217391304347
10.0,0.5,10000.0,0.9557522123893806,0.9565217391304347
