Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7522123893805309,0.7454545454545454
0.5,1.0,0.7389380530973452,0.73542600896861
0.5,5.0,0.7212389380530974,0.7248908296943231
0.5,10.0,0.6991150442477876,0.7017543859649122
1.0,0.5,0.7300884955752213,0.7136150234741785
1.0,1.0,0.7035398230088495,0.6995515695067264
1.0,5.0,0.6769911504424779,0.6696832579185521
1.0,10.0,0.6858407079646017,0.6787330316742082
1.5,0.5,0.7123893805309734,0.7325102880658437
1.5,1.0,0.6858407079646017,0.672811059907834
1.5,5.0,0.6814159292035398,0.6697247706422017
1.5,10.0,0.6814159292035398,0.6697247706422017
2.0,0.5,0.6769911504424779,0.7224334600760457
2.0,1.0,0.6858407079646017,0.6757990867579908
2.0,5.0,0.6902654867256637,0.6818181818181819
2.0,10.0,0.6946902654867256,0.6877828054298643
2.5,0.5,0.6283185840707964,0.7
2.5,1.0,0.7035398230088495,0.7172995780590717
2.5,5.0,0.6991150442477876,0.7118644067796611
2.5,10.0,0.7035398230088495,0.7148936170212765
3.0,0.5,0.6017699115044248,0.689655172413793
3.0,1.0,0.6902654867256637,0.7177419354838709
3.0,5.0,0.6858407079646017,0.710204081632653
3.0,10.0,0.6858407079646017,0.710204081632653
3.5,0.5,0.5796460176991151,0.6801346801346801
3.5,1.0,0.6548672566371682,0.6976744186046512
3.5,5.0,0.6592920353982301,0.7003891050583658
3.5,10.0,0.6592920353982301,0.7003891050583658
4.0,0.5,0.584070796460177,0.6845637583892618
4.0,1.0,0.6194690265486725,0.6861313868613138
4.0,5.0,0.6327433628318584,0.6937269372693726
4.0,10.0,0.6327433628318584,0.6937269372693726
4.5,0.5,0.5796460176991151,0.6822742474916387
4.5,1.0,0.6106194690265486,0.6901408450704226
4.5,5.0,0.6106194690265486,0.6901408450704226
4.5,10.0,0.6106194690265486,0.6901408450704226
5.0,0.5,0.5973451327433629,0.6915254237288136
5.0,1.0,0.6061946902654868,0.6877192982456141
5.0,5.0,0.6061946902654868,0.6877192982456141
5.0,10.0,0.6061946902654868,0.6877192982456141
10.0,0.5,0.5619469026548672,0.68370607028754
10.0,1.0,0.5707964601769911,0.6881028938906752
10.0,5.0,0.5663716814159292,0.6858974358974359
10.0,10.0,0.5663716814159292,0.6858974358974359
