hidden layer neurons,momentum constant,epochs,accuracy,f1 score
10.0,0.1,1000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,2000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,3000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,4000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,5000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,6000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,7000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,8000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,9000.0,0.8227272727272728,0.8266666666666667
10.0,0.1,10000.0,0.8227272727272728,0.8266666666666667
10.0,0.2,1000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,2000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,3000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,4000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,5000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,6000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,7000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,8000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,9000.0,0.7909090909090909,0.8099173553719009
10.0,0.2,10000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,1000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,2000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,3000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,4000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,5000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,6000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,7000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,8000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,9000.0,0.7909090909090909,0.8099173553719009
10.0,0.30000000000000004,10000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,1000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,2000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,3000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,4000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,5000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,6000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,7000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,8000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,9000.0,0.7909090909090909,0.8099173553719009
10.0,0.4,10000.0,0.7909090909090909,0.8099173553719009
10.0,0.5,1000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,2000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,3000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,4000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,5000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,6000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,7000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,8000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,9000.0,0.8045454545454546,0.8122270742358079
10.0,0.5,10000.0,0.8045454545454546,0.8122270742358079
10.0,0.6,1000.0,0.8272727272727273,0.831858407079646
10.0,0.6,2000.0,0.8272727272727273,0.831858407079646
10.0,0.6,3000.0,0.8272727272727273,0.831858407079646
