n,accuracy,f1 score
10.0,0.7361111111111112,0.7298578199052131
20.0,0.7453703703703703,0.7488584474885844
30.0,0.7361111111111112,0.7466666666666666
40.0,0.7361111111111112,0.7443946188340808
50.0,0.7361111111111112,0.7466666666666666
60.0,0.7407407407407407,0.752212389380531
70.0,0.7407407407407407,0.7543859649122806
80.0,0.7407407407407407,0.7543859649122806
90.0,0.7407407407407407,0.752212389380531
100.0,0.7407407407407407,0.752212389380531
110.0,0.7407407407407407,0.752212389380531
120.0,0.7453703703703703,0.7577092511013215
130.0,0.75,0.7631578947368423
140.0,0.75,0.7631578947368423
150.0,0.75,0.7631578947368423
160.0,0.75,0.7631578947368423
170.0,0.75,0.7631578947368423
180.0,0.7453703703703703,0.7577092511013215
190.0,0.75,0.7631578947368423
200.0,0.75,0.7631578947368423
