Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.9612068965517241,0.960352422907489
1.0,1.0,0.9612068965517241,0.960352422907489
1.0,5.0,0.9612068965517241,0.960352422907489
1.0,10.0,0.9612068965517241,0.960352422907489
1.0,100.0,0.9612068965517241,0.960352422907489
2.0,0.5,0.5775862068965517,0.6259541984732825
2.0,1.0,0.5560344827586207,0.6113207547169811
2.0,5.0,0.5474137931034483,0.6464646464646465
2.0,10.0,0.5862068965517241,0.6417910447761195
2.0,100.0,0.5646551724137931,0.6159695817490494
3.0,0.5,0.9568965517241379,0.9557522123893805
3.0,1.0,0.9612068965517241,0.960352422907489
3.0,5.0,0.9612068965517241,0.960352422907489
3.0,10.0,0.9612068965517241,0.960352422907489
3.0,100.0,0.9612068965517241,0.960352422907489
4.0,0.5,0.5431034482758621,0.636986301369863
4.0,1.0,0.5301724137931034,0.6202090592334495
4.0,5.0,0.5689655172413793,0.5867768595041322
4.0,10.0,0.5689655172413793,0.5867768595041322
4.0,100.0,0.5689655172413793,0.5867768595041322
