Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7222222222222222,0.7499999999999999
0.5,1.0,0.7407407407407407,0.7565217391304347
0.5,5.0,0.6759259259259259,0.6982758620689654
0.5,10.0,0.6805555555555556,0.7063829787234043
1.0,0.5,0.6898148148148148,0.749063670411985
1.0,1.0,0.7175925925925926,0.7468879668049793
1.0,5.0,0.6944444444444444,0.7317073170731708
1.0,10.0,0.6990740740740741,0.7346938775510204
1.5,0.5,0.6805555555555556,0.7415730337078651
1.5,1.0,0.7037037037037037,0.75
1.5,5.0,0.6898148148148148,0.7372549019607842
1.5,10.0,0.6898148148148148,0.7372549019607842
2.0,0.5,0.7037037037037037,0.7377049180327869
2.0,1.0,0.6759259259259259,0.7307692307692306
2.0,5.0,0.6759259259259259,0.7286821705426356
2.0,10.0,0.6759259259259259,0.7286821705426356
2.5,0.5,0.6388888888888888,0.717391304347826
2.5,1.0,0.6574074074074074,0.7238805970149254
2.5,5.0,0.6527777777777778,0.7169811320754716
2.5,10.0,0.6527777777777778,0.7169811320754716
3.0,0.5,0.5972222222222222,0.698961937716263
3.0,1.0,0.6388888888888888,0.717391304347826
3.0,5.0,0.6342592592592593,0.7127272727272728
3.0,10.0,0.6342592592592593,0.7127272727272728
3.5,0.5,0.5833333333333334,0.6979865771812082
3.5,1.0,0.6342592592592593,0.7148014440433214
3.5,5.0,0.6296296296296297,0.7101449275362318
3.5,10.0,0.6296296296296297,0.7101449275362318
4.0,0.5,0.5740740740740741,0.6973684210526316
4.0,1.0,0.5972222222222222,0.6947368421052631
4.0,5.0,0.5972222222222222,0.6925795053003534
4.0,10.0,0.5972222222222222,0.6925795053003534
4.5,0.5,0.5509259259259259,0.6860841423948222
4.5,1.0,0.5925925925925926,0.6965517241379311
4.5,5.0,0.5879629629629629,0.6898954703832753
4.5,10.0,0.5879629629629629,0.6898954703832753
5.0,0.5,0.5462962962962963,0.6838709677419357
5.0,1.0,0.5879629629629629,0.6941580756013745
5.0,5.0,0.5879629629629629,0.6920415224913495
5.0,10.0,0.5879629629629629,0.6920415224913495
10.0,0.5,0.5324074074074074,0.6793650793650794
10.0,1.0,0.5555555555555556,0.6862745098039216
10.0,5.0,0.5601851851851852,0.6885245901639345
10.0,10.0,0.5601851851851852,0.6885245901639345
