日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020/5/27,139,160,86,0.1,-4,-6.6,-200,-330,1,-200
2020/5/28,,101,,108,-41,19,-2050,950,1,-2050
2020/5/29,,86,,91,-15,-17,-750,-850,1,-750
2020/6/1,,151,,21.5,65,-69.5,3250,-3475,1,3250
2020/6/2,,187,,6.5,36,-15,1800,-750,1,1800
2020/6/3,141,371,90,0.2,184,-6.3,9200,-315,1,9200
2020/6/4,,182,,56,38,-37,1900,-1850,1,1900
2020/6/5,,245,,20,63,-36,3150,-1800,1,3150
2020/6/8,,341,,4.7,96,-15.3,4800,-765,1,4800
2020/6/9,,380,,1.1,39,-3.6,1950,-180,1,1950
2020/6/10,127,463,123,0.1,83,-1,4150,-50,1,4150
2020/6/11,,34,,243,-96,117,-4800,5850,1,-4800
2020/6/12,,14,,323,-20,80,-1000,4000,1,-1000
2020/6/15,,1.8,,475,-12.2,152,-610,7600,1,-610
2020/6/16,,7.7,,183,5.9,-292,295,-14600,1,295
2020/6/17,217,0.2,66,179,-7.5,-4,-375,-200,1,-375
2020/6/18,,235,,42,15,-27,750,-1350,1,750
2020/6/19,,231,,27,-4,-15,-200,-750,1,-200
2020/6/22,,230,,13,-1,-14,-50,-700,1,-50
2020/6/23,,260,,3.2,30,-9.8,1500,-490,1,1500
2020/6/24,191,302,55,0.2,42,-3,2100,-150,1,2100
2020/6/29,,65,,85,-129,27,-6450,1350,1,-6450
2020/6/30,,102,,11,37,-74,1850,-3700,1,1850
2020/7/1,164,203,60,0.2,101,-10.8,5050,-540,1,5050
2020/7/2,,276,,23,109,-40,5450,-2000,1,5450
2020/7/3,,398,,10,122,-13,6100,-650,1,6100
2020/7/6,,615,,2.1,217,-7.9,10850,-395,1,10850
2020/7/7,,575,,0.6,-40,-1.5,-2000,-75,1,-2000
2020/7/8,138,655,110,0.1,80,-0.5,4000,-25,1,4000
2020/7/9,,136,,85,-5,-28,-250,-1400,1,-250
2020/7/10,,54,,159,-82,74,-4100,3700,1,-4100
2020/7/13,,135,,29.5,81,-129.5,4050,-6475,1,4050
2020/7/14,,109,,21,-26,-8.5,-1300,-425,1,-1300
2020/7/15,228,120,68,0.1,11,-20.9,550,-1045,1,550
2020/7/16,,177,,65,-54,-6,-2700,-300,1,-2700
2020/7/17,,164,,44.5,-13,-20.5,-650,-1025,1,-650
2020/7/20,,144,,25.5,-20,-19,-1000,-950,1,-1000
2020/7/21,,370,,1.8,226,-23.7,11300,-1185,1,11300
2020/7/22,186,401,63,0.2,31,-1.6,1550,-80,1,1550
2020/7/23,,160,,70,-29,4,-1450,200,1,-1450
2020/7/24,,88,,134,-72,64,-3600,3200,1,-3600
2020/7/27,,319,,15,231,-119,11550,-5950,1,11550
2020/7/28,,272,,11.5,-47,-3.5,-2350,-175,1,-2350
2020/7/29,205,229,97,0.1,-43,-11.4,-2150,-570,1,-2150
2020/7/30,,320,,47,112,-53,5600,-2650,1,5600
2020/7/31,,301,,45.5,-19,-1.5,-950,-75,1,-950
2020/8/3,,171,,43,-130,-2.5,-6500,-125,1,-6500
2020/8/4,,314,,2.1,143,-40.9,7150,-2045,1,7150
2020/8/5,176,393,85,0.1,79,-2,3950,-100,1,3950
2020/8/6,,237,,54,58,-34,2900,-1700,1,2900
2020/8/7,,170,,62,-67,8,-3350,400,1,-3350
2020/8/10,,221,,20,51,-42,2550,-2100,1,2550
2020/8/11,,97,,25,-124,5,-6200,250,1,-6200
2020/8/12,130,0.2,121,40.5,-96.8,15.5,-4840,775,1,-4840
2020/8/13,,155,,77,22,-47,1100,-2350,1,1100
2020/8/14,,183,,42.5,28,-34.5,1400,-1725,1,1400
2020/8/17,,311,,6.5,128,-36,6400,-1800,1,6400
2020/8/18,,230,,3.3,-81,-3.2,-4050,-160,1,-4050
2020/8/19,139,156,101,0.1,-74,-3.2,-3700,-160,1,-3700
2020/8/20,,18.5,,423,-123.5,319,-6175,15950,1,-6175
2020/8/21,,32,,187,13.5,-236,675,-11800,1,675
2020/8/24,,27.5,,137,-4.5,-50,-225,-2500,1,-225
2020/8/25,,61,,38,33.5,-99,1675,-4950,1,1675
2020/8/26,165,49.5,92,0.2,-11.5,-37.8,-575,-1890,1,-575
2020/8/27,,131,,94,-37,-1,-1850,-50,1,-1850
2020/8/28,,88,,115,-43,21,-2150,1050,1,-2150
2020/8/31,,28,,155,-60,40,-3000,2000,1,-3000
2020/9/1,,26.5,,67,-1.5,-88,-75,-4400,1,-75
2020/9/2,165,0.2,101,82,-26.3,15,-1315,750,1,-1315
2020/9/3,,174,,75,6,-29,300,-1450,1,300
2020/9/4,,98,,120,-76,45,-3800,2250,1,-3800
2020/9/7,,52,,102,-46,-18,-2300,-900,1,-2300
2020/9/8,,68,32,32,16,-70,800,-3500,1,800
2020/9/9,175,0.1,124,58,-67.9,26,-3395,1300,1,-3395
2020/9/10,,211,,63,33,-64,1650,-3200,1,1650
2020/9/11,,175,,61,-36,-2,-1800,-100,1,-1800
2020/9/14,,246,,11.5,71,-49.5,3550,-2475,1,3550
2020/9/15,,296,,2.8,50,-8.7,2500,-435,1,2500
2020/9/16,138,418,107,0.1,122,-2.7,6100,-135,1,6100
2020/9/17,,79,,128,-62,18,-3100,900,1,-3100
2020/9/18,,73,,100,-6,-28,-300,-1400,1,-300
2020/9/21,,16,,196,-57,96,-2850,4800,1,-2850
2020/9/22,,1.9,,276,-14.1,80,-705,4000,1,-705
2020/9/23,182,0.2,84,323,-1.7,47,-85,2350,-1,-85
2020/9/24,,23,,274,-162,187,-8100,9350,-1,9350
2020/9/25,,13,,271,-10,-3,-500,-150,-1,-150
2020/9/28,,42,,82,29,-189,1450,-9450,-1,-9450
2020/9/29,,23,,69,-19,-13,-950,-650,-1,-650
2020/9/30,150,28.5,94,0.1,5.5,-68.9,275,-3445,1,-3445
2020/10/5,,142,,30,-11,-67,-550,-3350,1,-550
2020/10/6,,256,,1.4,114,-28.6,5700,-1430,1,5700
2020/10/7,112,309,84,0.3,53,-1.1,2650,-55,1,2650
2020/10/8,,187,,41,72,-46,3600,-2300,1,3600
2020/10/12,,209,,9,22,-32,1100,-1600,1,1100
2020/10/13,,208,,2.6,-1,-6.4,-50,-320,1,-50
2020/10/14,135,150,94,0.1,-58,-2.5,-2900,-125,1,-2900
2020/10/15,,100,,106,-38,9,-1900,450,1,-1900
