Degree of kernel function,Regularization parameter,accuracy,f1 score
1.0,0.5,0.9629629629629629,0.9622641509433962
1.0,1.0,0.9629629629629629,0.9622641509433962
1.0,5.0,0.9722222222222222,0.9724770642201834
1.0,10.0,0.9722222222222222,0.9724770642201834
1.0,100.0,0.9722222222222222,0.9724770642201834
2.0,0.5,0.4861111111111111,0.4422110552763819
2.0,1.0,0.44907407407407407,0.383419689119171
2.0,5.0,0.4444444444444444,0.3684210526315789
2.0,10.0,0.48148148148148145,0.4285714285714286
2.0,100.0,0.4444444444444444,0.23076923076923078
3.0,0.5,0.9814814814814815,0.9814814814814815
3.0,1.0,0.9722222222222222,0.9724770642201834
3.0,5.0,0.9722222222222222,0.9724770642201834
3.0,10.0,0.9722222222222222,0.9724770642201834
3.0,100.0,0.9722222222222222,0.9724770642201834
4.0,0.5,0.4675925925925926,0.49339207048458145
4.0,1.0,0.44907407407407407,0.42512077294685985
4.0,5.0,0.4861111111111111,0.4365482233502538
4.0,10.0,0.4861111111111111,0.4365482233502538
4.0,100.0,0.4861111111111111,0.4365482233502538
