Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7592592592592593,0.7851239669421488
0.5,1.0,0.7685185185185185,0.793388429752066
0.5,5.0,0.7592592592592593,0.7796610169491525
0.5,10.0,0.7407407407407407,0.7606837606837606
1.0,0.5,0.7175925925925926,0.7680608365019012
1.0,1.0,0.7546296296296297,0.7905138339920948
1.0,5.0,0.75,0.7804878048780488
1.0,10.0,0.75,0.7804878048780488
1.5,0.5,0.7175925925925926,0.7698113207547169
1.5,1.0,0.7268518518518519,0.7722007722007722
1.5,5.0,0.7268518518518519,0.7649402390438248
1.5,10.0,0.7268518518518519,0.7649402390438248
2.0,0.5,0.7407407407407407,0.7812500000000001
2.0,1.0,0.7129629629629629,0.7633587786259541
2.0,5.0,0.7175925925925926,0.7626459143968871
2.0,10.0,0.7175925925925926,0.7626459143968871
2.5,0.5,0.7175925925925926,0.7644787644787646
2.5,1.0,0.6990740740740741,0.7547169811320755
2.5,5.0,0.6944444444444444,0.7461538461538462
2.5,10.0,0.6944444444444444,0.7461538461538462
3.0,0.5,0.6620370370370371,0.7383512544802867
3.0,1.0,0.6620370370370371,0.7326007326007326
3.0,5.0,0.6898148148148148,0.7432950191570881
3.0,10.0,0.6898148148148148,0.7432950191570881
3.5,0.5,0.6203703703703703,0.7172413793103448
3.5,1.0,0.6574074074074074,0.7299270072992702
3.5,5.0,0.6620370370370371,0.7306273062730628
3.5,10.0,0.6620370370370371,0.7306273062730628
4.0,0.5,0.6342592592592593,0.7188612099644128
4.0,1.0,0.6435185185185185,0.7240143369175627
4.0,5.0,0.6527777777777778,0.7252747252747253
4.0,10.0,0.6527777777777778,0.7252747252747253
4.5,0.5,0.7314814814814815,0.7184466019417475
4.5,1.0,0.6342592592592593,0.7188612099644128
4.5,5.0,0.6527777777777778,0.7272727272727272
4.5,10.0,0.6527777777777778,0.7272727272727272
5.0,0.5,0.6388888888888888,0.5125000000000001
5.0,1.0,0.6157407407407407,0.7087719298245615
5.0,5.0,0.6342592592592593,0.7188612099644128
5.0,10.0,0.6342592592592593,0.7188612099644128
10.0,0.5,0.5277777777777778,0.12068965517241378
10.0,1.0,0.5879629629629629,0.6983050847457627
10.0,5.0,0.5972222222222222,0.7010309278350515
10.0,10.0,0.5972222222222222,0.7010309278350515
