n,accuracy,f1 score
10.0,0.7863636363636364,0.7729468599033816
20.0,0.8,0.7904761904761904
30.0,0.8136363636363636,0.8056872037914691
40.0,0.8181818181818182,0.8113207547169811
50.0,0.8227272727272728,0.8169014084507042
60.0,0.8181818181818182,0.8130841121495327
70.0,0.8181818181818182,0.8113207547169811
80.0,0.8181818181818182,0.8113207547169811
90.0,0.8272727272727273,0.820754716981132
100.0,0.8318181818181818,0.8246445497630333
110.0,0.8318181818181818,0.8246445497630333
120.0,0.8363636363636363,0.8301886792452831
130.0,0.8363636363636363,0.8301886792452831
140.0,0.8318181818181818,0.8262910798122066
150.0,0.8363636363636363,0.8301886792452831
160.0,0.8363636363636363,0.8301886792452831
170.0,0.8318181818181818,0.8262910798122066
180.0,0.8318181818181818,0.8262910798122066
190.0,0.8363636363636363,0.8301886792452831
200.0,0.8181818181818182,0.8095238095238095
