Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.7818181818181819,0.7777777777777778
0.5,1.0,0.7863636363636364,0.7873303167420813
0.5,5.0,0.7090909090909091,0.7090909090909091
0.5,10.0,0.7,0.7027027027027026
1.0,0.5,0.7681818181818182,0.753623188405797
1.0,1.0,0.7681818181818182,0.76056338028169
1.0,5.0,0.7318181818181818,0.7305936073059361
1.0,10.0,0.7318181818181818,0.7305936073059361
1.5,0.5,0.7454545454545455,0.7431192660550459
1.5,1.0,0.7272727272727273,0.7142857142857143
1.5,5.0,0.7045454545454546,0.6948356807511737
1.5,10.0,0.7045454545454546,0.6948356807511737
2.0,0.5,0.6454545454545455,0.7132352941176471
2.0,1.0,0.7045454545454546,0.6829268292682926
2.0,5.0,0.6863636363636364,0.6698564593301435
2.0,10.0,0.6863636363636364,0.6698564593301435
2.5,0.5,0.5954545454545455,0.6941580756013745
2.5,1.0,0.6818181818181818,0.6428571428571429
2.5,5.0,0.6636363636363637,0.63
2.5,10.0,0.6636363636363637,0.63
3.0,0.5,0.5590909090909091,0.6777408637873754
3.0,1.0,0.6636363636363637,0.6063829787234042
3.0,5.0,0.6681818181818182,0.6256410256410256
3.0,10.0,0.6681818181818182,0.6256410256410256
3.5,0.5,0.55,0.6754098360655738
3.5,1.0,0.6409090909090909,0.5683060109289617
3.5,5.0,0.6545454545454545,0.5957446808510638
3.5,10.0,0.6545454545454545,0.5957446808510638
4.0,0.5,0.5454545454545454,0.6774193548387099
4.0,1.0,0.6318181818181818,0.5524861878453038
4.0,5.0,0.6363636363636364,0.5652173913043479
4.0,10.0,0.6363636363636364,0.5652173913043479
4.5,0.5,0.5409090909090909,0.6773162939297125
4.5,1.0,0.6090909090909091,0.5113636363636365
4.5,5.0,0.6272727272727273,0.5494505494505494
4.5,10.0,0.6272727272727273,0.5494505494505494
5.0,0.5,0.5363636363636364,0.6751592356687898
5.0,1.0,0.6045454545454545,0.4912280701754386
5.0,5.0,0.6227272727272727,0.5414364640883979
5.0,10.0,0.6227272727272727,0.5414364640883979
10.0,0.5,0.5,0.6583850931677019
10.0,1.0,0.5636363636363636,0.39999999999999997
10.0,5.0,0.6,0.47619047619047616
10.0,10.0,0.6,0.47619047619047616
