Gamma in kernel function,Regularization parameter,accuracy,f1 score
0.5,0.5,0.9583333333333334,0.9592760180995475
0.5,1.0,0.9722222222222222,0.9724770642201834
0.5,5.0,0.9675925925925926,0.9680365296803655
0.5,10.0,0.9675925925925926,0.9680365296803655
1.0,0.5,0.8657407407407407,0.8806584362139918
1.0,1.0,0.8657407407407407,0.8806584362139918
1.0,5.0,0.8657407407407407,0.8806584362139918
1.0,10.0,0.8657407407407407,0.8806584362139918
1.5,0.5,0.8657407407407407,0.8806584362139918
1.5,1.0,0.8657407407407407,0.8806584362139918
1.5,5.0,0.8657407407407407,0.8806584362139918
1.5,10.0,0.8657407407407407,0.8806584362139918
2.0,0.5,0.8657407407407407,0.8806584362139918
2.0,1.0,0.8657407407407407,0.8806584362139918
2.0,5.0,0.8657407407407407,0.8806584362139918
2.0,10.0,0.8657407407407407,0.8806584362139918
2.5,0.5,0.8657407407407407,0.8806584362139918
2.5,1.0,0.8657407407407407,0.8806584362139918
2.5,5.0,0.8657407407407407,0.8806584362139918
2.5,10.0,0.8657407407407407,0.8806584362139918
3.0,0.5,0.8657407407407407,0.8806584362139918
3.0,1.0,0.8657407407407407,0.8806584362139918
3.0,5.0,0.8657407407407407,0.8806584362139918
3.0,10.0,0.8657407407407407,0.8806584362139918
3.5,0.5,0.8657407407407407,0.8806584362139918
3.5,1.0,0.8657407407407407,0.8806584362139918
3.5,5.0,0.8657407407407407,0.8806584362139918
3.5,10.0,0.8657407407407407,0.8806584362139918
4.0,0.5,0.8657407407407407,0.8806584362139918
4.0,1.0,0.8657407407407407,0.8806584362139918
4.0,5.0,0.8657407407407407,0.8806584362139918
4.0,10.0,0.8657407407407407,0.8806584362139918
4.5,0.5,0.8657407407407407,0.8806584362139918
4.5,1.0,0.8657407407407407,0.8806584362139918
4.5,5.0,0.8657407407407407,0.8806584362139918
4.5,10.0,0.8657407407407407,0.8806584362139918
5.0,0.5,0.8657407407407407,0.8806584362139918
5.0,1.0,0.8657407407407407,0.8806584362139918
5.0,5.0,0.8657407407407407,0.8806584362139918
5.0,10.0,0.8657407407407407,0.8806584362139918
10.0,0.5,0.8657407407407407,0.8806584362139918
10.0,1.0,0.8657407407407407,0.8806584362139918
10.0,5.0,0.8657407407407407,0.8806584362139918
10.0,10.0,0.8657407407407407,0.8806584362139918
