n,accuracy,f1 score
10.0,0.9568965517241379,0.9561403508771931
20.0,0.9568965517241379,0.9568965517241379
30.0,0.9525862068965517,0.9515418502202643
40.0,0.9568965517241379,0.9568965517241379
50.0,0.9568965517241379,0.9568965517241379
60.0,0.9568965517241379,0.9568965517241379
70.0,0.9568965517241379,0.9568965517241379
80.0,0.9568965517241379,0.9568965517241379
90.0,0.9568965517241379,0.9568965517241379
100.0,0.9568965517241379,0.9568965517241379
110.0,0.9568965517241379,0.9568965517241379
120.0,0.9568965517241379,0.9568965517241379
130.0,0.9568965517241379,0.9568965517241379
140.0,0.9568965517241379,0.9568965517241379
150.0,0.9568965517241379,0.9568965517241379
160.0,0.9568965517241379,0.9568965517241379
170.0,0.9568965517241379,0.9568965517241379
180.0,0.9568965517241379,0.9568965517241379
190.0,0.9568965517241379,0.9568965517241379
200.0,0.9568965517241379,0.9568965517241379
