交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2024/1/2,TXO,202401W1,16800,賣權,0.2,0.2,0.2,0.2,1,-,-,0.2,1.5,14,0.2,,盤後,-0.2,-50%
2024/1/2,TXO,202401W1,16900,買權,-,-,-,-,0,930,1,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,16900,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,16900,賣權,0.3,0.3,0.3,0.3,10,0.2,683,-,0.5,18.5,0.3,,一般,-0.1,-25%
2024/1/2,TXO,202401W1,16900,賣權,0.4,0.6,0.4,0.6,4,-,-,0.2,0.6,18.5,0.4,,盤後,0.2,50%
2024/1/2,TXO,202401W1,17000,買權,-,-,-,-,0,830,6,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,17000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,17000,賣權,0.3,0.3,0.2,0.2,6,0.2,2538,0.1,0.9,28,0.2,,一般,-0.3,-60%
2024/1/2,TXO,202401W1,17000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,17050,買權,-,-,-,-,0,780,0,-,-,-,-,,一般,-,-
2024/1/2,TXO,202401W1,17050,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,17050,賣權,0.4,0.4,0.1,0.2,7,0.2,395,0.1,0.7,35.5,0.1,,一般,-0.4,-66.67%
2024/1/2,TXO,202401W1,17050,賣權,0.8,1.1,0.6,0.6,56,-,-,0.6,0.9,35.5,0.1,,盤後,0,0.00%
2024/1/2,TXO,202401W1,17100,買權,690,690,690,690,5,730,9,720,740,800,380,,一般,-105,-13.21%
2024/1/2,TXO,202401W1,17100,買權,800,800,800,800,2,-,-,55,-,800,380,,盤後,5,0.63%
2024/1/2,TXO,202401W1,17100,賣權,0.2,0.4,0.1,0.2,51,0.2,1786,0.1,1,66,0.1,,一般,-0.5,-71.43%
2024/1/2,TXO,202401W1,17100,賣權,0.3,0.9,0.3,0.9,25,-,-,0.3,0.9,66,0.3,,盤後,0.2,28.57%
2024/1/2,TXO,202401W1,17150,買權,645,645,645,645,5,680,17,670,690,710,439,,一般,-100,-13.42%
2024/1/2,TXO,202401W1,17150,買權,690,690,690,690,1,-,-,18.5,-,710,439,,盤後,-55,-7.38%
2024/1/2,TXO,202401W1,17150,賣權,0.6,0.7,0.2,0.2,95,0.2,2071,-,0.6,55,0.2,,一般,-0.5,-71.43%
2024/1/2,TXO,202401W1,17150,賣權,0.7,0.9,0.7,0.9,8,-,-,0.3,0.8,55,0.5,,盤後,0.2,28.57%
2024/1/2,TXO,202401W1,17200,買權,645,645,645,645,1,630,15,620,640,685,325,,一般,-50,-7.19%
2024/1/2,TXO,202401W1,17200,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-
2024/1/2,TXO,202401W1,17200,賣權,0.5,0.5,0.1,0.2,87,0.2,1282,-,0.3,66,0.1,,一般,-0.6,-75%
2024/1/2,TXO,202401W1,17200,賣權,0.4,1.2,0.4,1.2,69,-,-,0.8,1.1,66,0.4,,盤後,0.4,50%
2024/1/2,TXO,202401W1,17250,買權,-,-,-,-,0,580,11,-,-,-,-,,一般,-,-
