交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/02/01,TXO,202302W1,13400.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13400.0000,賣權,0.6,0.6,0.6,0.6,1,0,1,-,0.4,0.6,0.6,,一般,0.5,-,
2023/02/01,TXO,202302W1,13400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13500.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13500.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13600.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13600.0000,賣權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13700.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13700.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13800.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13800.0000,賣權,-,-,-,-,0,0,34,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13900.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,13900.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,13900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,14000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,14000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,14000.0000,賣權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,14000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,14100.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,14100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,14100.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,14100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,14200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/02/01,TXO,202302W1,14200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/02/01,TXO,202302W1,14200.0000,賣權,-,-,-,-,0,0,11,-,-,-,-,,一般,-,-,
