交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/08/01,TXO,202308W1,15300.0000,買權,-,-,-,-,0,1890,0,-,-,-,-,,一般,-,-,
2023/08/01,TXO,202308W1,15300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/08/01,TXO,202308W1,15300.0000,賣權,-,-,-,-,0,0.1,17,-,-,-,-,,一般,-,-,
2023/08/01,TXO,202308W1,15300.0000,賣權,1,1.9,0.4,0.4,5,-,-,-,0.4,2.3,0.3,,盤後,0.1,33.33%,
2023/08/01,TXO,202308W1,15400.0000,買權,-,-,-,-,0,1790,0,-,-,-,-,,一般,-,-,
2023/08/01,TXO,202308W1,15400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/08/01,TXO,202308W1,15400.0000,賣權,0.4,0.4,0.2,0.2,2,0.2,42,0.1,0.5,4.7,0.2,,一般,-0.2,-50%,
2023/08/01,TXO,202308W1,15400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/08/01,TXO,202308W1,15500.0000,買權,-,-,-,-,0,1690,2,-,-,-,-,,一般,-,-,
2023/08/01,TXO,202308W1,15500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/08/01,TXO,202308W1,15500.0000,賣權,0.2,0.2,0.2,0.2,1,0.2,189,-,0.5,6.5,0.2,,一般,-0.2,-50%,
2023/08/01,TXO,202308W1,15500.0000,賣權,0.4,0.4,0.4,0.4,50,-,-,0.1,0.5,6.5,0.3,,盤後,0,0.00%,
2023/08/01,TXO,202308W1,15600.0000,買權,-,-,-,-,0,1590,0,-,-,-,-,,一般,-,-,
2023/08/01,TXO,202308W1,15600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/08/01,TXO,202308W1,15600.0000,賣權,0.3,0.3,0.3,0.3,10,0.2,48,0.1,0.5,6.5,0.3,,一般,-0.2,-40%,
2023/08/01,TXO,202308W1,15600.0000,賣權,0.4,1,0.4,1,19,-,-,0.2,0.6,6.5,0.4,,盤後,0.5,100%,
2023/08/01,TXO,202308W1,15700.0000,買權,-,-,-,-,0,1490,0,-,-,-,-,,一般,-,-,
