交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/07/03,TXO,202307W1,15100.0000,買權,-,-,-,-,0,1980,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15100.0000,賣權,-,-,-,-,0,0.1,13,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15100.0000,賣權,0.1,0.1,0.1,0.1,2,-,-,-,0.5,2.1,0.1,,盤後,0,-,
2023/07/03,TXO,202307W1,15200.0000,買權,-,-,-,-,0,1880,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15200.0000,賣權,-,-,-,-,0,0.1,30,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15300.0000,買權,-,-,-,-,0,1780,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15300.0000,賣權,-,-,-,-,0,0.2,111,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15400.0000,買權,-,-,-,-,0,1690,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15400.0000,賣權,-,-,-,-,0,0.3,111,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15400.0000,賣權,0.5,0.5,0.5,0.5,3,-,-,0.3,0.6,3.6,0.5,,盤後,-0.1,-16.67%,
2023/07/03,TXO,202307W1,15500.0000,買權,-,-,-,-,0,1590,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15500.0000,賣權,0.4,0.5,0.4,0.5,35,0.5,659,0.3,0.6,5,0.4,,一般,-0.2,-28.57%,
2023/07/03,TXO,202307W1,15500.0000,賣權,0.6,0.7,0.6,0.7,10,-,-,0.3,0.7,5,0.4,,盤後,0,0.00%,
2023/07/03,TXO,202307W1,15600.0000,買權,-,-,-,-,0,1490,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15600.0000,賣權,0.6,0.6,0.6,0.6,10,0.6,505,0.3,1.2,5.2,0.1,,一般,-0.1,-14.29%,
2023/07/03,TXO,202307W1,15600.0000,賣權,0.7,0.7,0.7,0.7,4,-,-,0.3,0.4,5.2,0.1,,盤後,0,0.00%,
2023/07/03,TXO,202307W1,15700.0000,買權,-,-,-,-,0,1390,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15700.0000,賣權,0.6,0.7,0.6,0.6,11,0.6,450,0.3,0.8,5.5,0.6,,一般,-0.3,-33.33%,
2023/07/03,TXO,202307W1,15700.0000,賣權,0.8,0.9,0.6,0.6,22,-,-,0.4,0.9,5.5,0.6,,盤後,-0.3,-33.33%,
2023/07/03,TXO,202307W1,15800.0000,買權,-,-,-,-,0,1290,1,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15800.0000,賣權,0.7,0.8,0.4,0.5,47,0.6,1666,0.3,0.7,10,0.4,,一般,-0.6,-54.55%,
2023/07/03,TXO,202307W1,15800.0000,賣權,1,1,0.6,0.6,7,-,-,0.6,1,10,0.6,,盤後,-0.5,-45.45%,
2023/07/03,TXO,202307W1,15900.0000,買權,-,-,-,-,0,1190,1,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,15900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,15900.0000,賣權,0.7,0.9,0.5,0.7,50,0.7,1017,0.5,0.8,7,0.5,,一般,-0.6,-46.15%,
2023/07/03,TXO,202307W1,15900.0000,賣權,0.9,1.1,0.8,1,15,-,-,0.8,1,7,0.5,,盤後,-0.3,-23.08%,
2023/07/03,TXO,202307W1,16000.0000,買權,-,-,-,-,0,1090,4,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,16000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,16000.0000,賣權,0.7,1.2,0.7,0.8,269,0.8,3927,0.6,0.9,10,0.7,,一般,-0.7,-46.67%,
2023/07/03,TXO,202307W1,16000.0000,賣權,1.9,1.9,0.9,1,148,-,-,1,1.1,10,0.9,,盤後,-0.5,-33.33%,
2023/07/03,TXO,202307W1,16100.0000,買權,-,-,-,-,0,990,0,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,16100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,16100.0000,賣權,0.5,1.4,0.5,0.9,3076,0.9,3928,0.8,0.9,11,0.5,,一般,-1,-52.63%,
2023/07/03,TXO,202307W1,16100.0000,賣權,1.9,2,1.1,1.1,136,-,-,1.1,1.5,11,1.1,,盤後,-0.8,-42.11%,
2023/07/03,TXO,202307W1,16200.0000,買權,-,-,-,-,0,890,40,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,16200.0000,買權,720,720,720,720,1,-,-,13.5,-,720,520,,盤後,80,12.5%,
2023/07/03,TXO,202307W1,16200.0000,賣權,1,1.8,0.9,1.1,1662,1.1,5223,1,1.2,17.5,0.9,,一般,-1.4,-56%,
2023/07/03,TXO,202307W1,16200.0000,賣權,2.8,2.8,1.5,1.5,821,-,-,1.4,1.8,17.5,1.5,,盤後,-1,-40%,
2023/07/03,TXO,202307W1,16300.0000,買權,-,-,-,-,0,790,2,-,-,-,-,,一般,-,-,
2023/07/03,TXO,202307W1,16300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/07/03,TXO,202307W1,16300.0000,賣權,1.8,2,1.1,1.3,3453,1.3,4718,1.2,1.4,22,1.1,,一般,-2.3,-63.89%,
2023/07/03,TXO,202307W1,16300.0000,賣權,3.6,3.7,1.7,2.2,1689,-,-,1.7,2.2,22,1.7,,盤後,-1.4,-38.89%,
2023/07/03,TXO,202307W1,16400.0000,買權,560,680,560,680,27,690,34,670,770,680,343,,一般,240,54.55%,
2023/07/03,TXO,202307W1,16400.0000,買權,433,535,433,535,14,-,-,180,-,535,343,,盤後,95,21.59%,
2023/07/03,TXO,202307W1,16400.0000,賣權,2.1,2.7,1.3,1.6,9003,1.6,11803,1,1.7,30,1.3,,一般,-4.1,-71.93%,
2023/07/03,TXO,202307W1,16400.0000,賣權,5.8,6,2.5,2.8,1529,-,-,2.7,3.3,30,2.5,,盤後,-2.9,-50.88%,
2023/07/03,TXO,202307W1,16450.0000,買權,530,620,530,620,28,640,37,620,720,620,295,,一般,230,58.97%,
2023/07/03,TXO,202307W1,16450.0000,買權,427,481,427,481,3,-,-,13.5,-,481,295,,盤後,91,23.33%,
2023/07/03,TXO,202307W1,16450.0000,賣權,2.8,2.8,1.5,1.8,3320,1.8,3573,1.4,1.9,28.5,1.5,,一般,-4.8,-72.73%,
2023/07/03,TXO,202307W1,16450.0000,賣權,6.7,7.2,3.2,4.3,1172,-,-,3.3,4.3,28.5,3.2,,盤後,-2.3,-34.85%,
2023/07/03,TXO,202307W1,16500.0000,買權,476,585,460,570,36,590,48,570,670,585,254,,一般,229,67.16%,
2023/07/03,TXO,202307W1,16500.0000,買權,340,441,340,438,20,-,-,12.5,-,480,254,,盤後,97,28.45%,
2023/07/03,TXO,202307W1,16500.0000,賣權,3.6,3.6,1.8,2.1,7293,2.1,7973,1.9,2.1,47,1.8,,一般,-7,-76.92%,
2023/07/03,TXO,202307W1,16500.0000,賣權,10,10.5,4.1,5.2,4007,-,-,4.5,5.2,47,4.1,,盤後,-3.9,-42.86%,
2023/07/03,TXO,202307W1,16550.0000,買權,416,535,408,535,116,540,176,520,620,535,220,,一般,241,81.97%,
2023/07/03,TXO,202307W1,16550.0000,買權,296,396,296,396,26,-,-,365,-,400,220,,盤後,102,34.69%,
2023/07/03,TXO,202307W1,16550.0000,賣權,4.9,4.9,1.9,2.3,8258,2.3,4464,1.9,2.3,58,1.9,,一般,-10.2,-81.6%,
2023/07/03,TXO,202307W1,16550.0000,賣權,14,14,5.5,7.2,3315,-,-,5.5,7.2,58,5.5,,盤後,-5.3,-42.4%,
2023/07/03,TXO,202307W1,16600.0000,買權,367,484,356,479,405,490,490,403,499,484,173,,一般,234,95.51%,
2023/07/03,TXO,202307W1,16600.0000,買權,250,350,247,350,245,-,-,280,330,464,173,,盤後,105,42.86%,
2023/07/03,TXO,202307W1,16600.0000,賣權,7,7,2.1,2.6,17423,2.6,11463,2.3,2.8,72,2.1,,一般,-14.9,-85.14%,
2023/07/03,TXO,202307W1,16600.0000,賣權,18.5,19,8.3,9.8,6888,-,-,8.9,9.8,72,8.3,,盤後,-7.7,-44%,
2023/07/03,TXO,202307W1,16650.0000,買權,319,435,311,430,132,440,804,354,520,435,140,,一般,221,105.74%,
2023/07/03,TXO,202307W1,16650.0000,買權,204,305,204,282,387,-,-,258,285,350,140,,盤後,73,34.93%,
2023/07/03,TXO,202307W1,16650.0000,賣權,8,9.9,2.5,3.2,9659,3.2,6821,2.7,3.5,88,2.5,,一般,-21.8,-87.2%,
2023/07/03,TXO,202307W1,16650.0000,賣權,26,28,11,15,6695,-,-,12,15,88,11,,盤後,-10,-40%,
2023/07/03,TXO,202307W1,16700.0000,買權,274,390,259,390,851,390,1174,385,390,392,110,,一般,217,125.43%,
2023/07/03,TXO,202307W1,16700.0000,買權,166,259,165,239,1225,-,-,231,250,392,110,,盤後,66,38.15%,
2023/07/03,TXO,202307W1,16700.0000,賣權,11.5,12,3.3,3.8,11382,3.8,6805,3.5,3.8,109,3.3,,一般,-32.2,-89.44%,
2023/07/03,TXO,202307W1,16700.0000,賣權,39,40,15,19,8928,-,-,19,19.5,109,15,,盤後,-17,-47.22%,
2023/07/03,TXO,202307W1,16750.0000,買權,229,338,217,337,599,340,1335,336,423,338,87,,一般,200,145.99%,
2023/07/03,TXO,202307W1,16750.0000,買權,133,217,130,190,1893,-,-,192,199,273,87,,盤後,53,38.69%,
2023/07/03,TXO,202307W1,16750.0000,賣權,19,19,4.4,4.9,10179,4.9,6599,4.8,4.9,133,4.4,,一般,-45.1,-90.2%,
2023/07/03,TXO,202307W1,16750.0000,賣權,50,55,21,24.5,8204,-,-,24,26,133,21,,盤後,-25.5,-51%,
2023/07/03,TXO,202307W1,16800.0000,買權,171,293,171,293,4800,293,5400,290,294,321,66,,一般,189,181.73%,
2023/07/03,TXO,202307W1,16800.0000,買權,102,177,100,156,7163,-,-,156,159,321,66,,盤後,52,50%,
2023/07/03,TXO,202307W1,16800.0000,賣權,26,26.5,6.2,6.9,18654,6.9,11444,6.5,7,158,6.2,,一般,-62.1,-90%,
2023/07/03,TXO,202307W1,16800.0000,賣權,69,75,29.5,35,13060,-,-,35,37,158,29.5,,盤後,-34,-49.28%,
2023/07/03,TXO,202307W1,16850.0000,買權,136,248,136,245,3975,245,2152,243,246,277,48.5,,一般,166,210.13%,
2023/07/03,TXO,202307W1,16850.0000,買權,75,139,72,121,7594,-,-,121,122,277,48.5,,盤後,42,53.16%,
2023/07/03,TXO,202307W1,16850.0000,賣權,44,44,8.3,9.4,22592,9.4,8705,9,9.3,179,8.3,,一般,-82.6,-89.78%,
