交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/04/06,TXO,202304W1,13900.0000,買權,-,-,-,-,0,0,1,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,13900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,13900.0000,賣權,-,-,-,-,0,0,156,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,13900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14000.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14000.0000,賣權,-,-,-,-,0,0,126,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14100.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14100.0000,賣權,-,-,-,-,0,0,206,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14200.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14200.0000,賣權,-,-,-,-,0,0,175,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14300.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14300.0000,賣權,-,-,-,-,0,0,299,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14300.0000,賣權,0.6,0.6,0.6,0.6,43,-,-,-,0.5,6.9,0.2,,盤後,0.4,200%,
2023/04/06,TXO,202304W1,14400.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14400.0000,賣權,0.2,0.2,0.2,0.2,250,0,433,-,0.5,14,0.1,,一般,0,0.00%,
2023/04/06,TXO,202304W1,14400.0000,賣權,0.1,0.1,0.1,0.1,1,-,-,-,0.6,14,0.1,,盤後,-0.1,-50%,
2023/04/06,TXO,202304W1,14500.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14500.0000,賣權,0.2,0.2,0.2,0.2,705,0,728,-,0.4,12,0.2,,一般,0,0.00%,
2023/04/06,TXO,202304W1,14500.0000,賣權,0.6,0.6,0.6,0.6,5,-,-,-,1,12,0.2,,盤後,0.4,200%,
2023/04/06,TXO,202304W1,14600.0000,買權,1170,1170,1170,1170,1,0,0,1080,1320,1170,1170,,一般,-110,-8.59%,
2023/04/06,TXO,202304W1,14600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14600.0000,賣權,-,-,-,-,0,0,1845,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14600.0000,賣權,0.6,0.6,0.6,0.6,5,-,-,-,5.4,16,0.2,,盤後,0.4,200%,
2023/04/06,TXO,202304W1,14700.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14700.0000,賣權,-,-,-,-,0,0,2070,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14700.0000,賣權,0.1,0.1,0.1,0.1,7,-,-,0.2,1,18,0.1,,盤後,-0.1,-50%,
2023/04/06,TXO,202304W1,14800.0000,買權,-,-,-,-,0,0,4,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14800.0000,賣權,0.1,0.1,0.1,0.1,1,0,2566,-,0.3,26.5,0.1,,一般,-0.1,-50%,
2023/04/06,TXO,202304W1,14800.0000,賣權,0.2,0.2,0.1,0.1,85,-,-,0.2,0.6,26.5,0.1,,盤後,-0.1,-50%,
2023/04/06,TXO,202304W1,14900.0000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,14900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,14900.0000,賣權,0.1,0.2,0.1,0.1,41,0,3049,-,0.3,30,0.1,,一般,-0.2,-66.67%,
2023/04/06,TXO,202304W1,14900.0000,賣權,0.3,1,0.2,1,42,-,-,0.3,1,30,0.2,,盤後,0.7,233.33%,
2023/04/06,TXO,202304W1,15000.0000,買權,750,750,740,740,2,0,11,675,925,905,720,,一般,-140,-15.91%,
2023/04/06,TXO,202304W1,15000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,15000.0000,賣權,0.1,0.1,0.1,0.1,53,0,3047,-,0.2,36,0.1,,一般,-0.3,-75%,
2023/04/06,TXO,202304W1,15000.0000,賣權,0.7,0.9,0.4,0.7,181,-,-,0.7,1.1,36,0.3,,盤後,0.3,75%,
2023/04/06,TXO,202304W1,15050.0000,買權,-,-,-,-,0,0,5,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,15050.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,15050.0000,賣權,0.2,0.3,0.1,0.2,50,0,832,-,0.2,38.5,0.1,,一般,-0.6,-75%,
2023/04/06,TXO,202304W1,15050.0000,賣權,0.9,20,0.5,20,68,-,-,0.7,3.1,38.5,0.5,,盤後,19.2,2400%,
2023/04/06,TXO,202304W1,15100.0000,買權,-,-,-,-,0,0,5,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,15100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,15100.0000,賣權,0.2,0.3,0.1,0.2,164,0,3644,-,0.3,55,0.1,,一般,-0.6,-75%,
2023/04/06,TXO,202304W1,15100.0000,賣權,1.1,1.1,0.6,0.9,163,-,-,0.9,1.1,55,0.6,,盤後,0.1,12.5%,
2023/04/06,TXO,202304W1,15150.0000,買權,-,-,-,-,0,0,4,-,-,-,-,,一般,-,-,
2023/04/06,TXO,202304W1,15150.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/04/06,TXO,202304W1,15150.0000,賣權,0.3,0.3,0.2,0.3,150,0,3070,0.1,0.3,50,0.2,,一般,-0.8,-72.73%,
2023/04/06,TXO,202304W1,15150.0000,賣權,1.2,1.4,0.8,1.1,639,-,-,1.1,1.2,50,0.8,,盤後,0,0.00%,
2023/04/06,TXO,202304W1,15200.0000,買權,535,595,535,595,5,0,17,550,720,715,510,,一般,-85,-12.5%,
2023/04/06,TXO,202304W1,15200.0000,買權,650,650,630,630,4,-,-,17,-,715,510,,盤後,-50,-7.35%,
2023/04/06,TXO,202304W1,15200.0000,賣權,0.3,0.3,0.1,0.1,268,0,3166,-,0.1,74,0.1,,一般,-1.3,-92.86%,
