交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/01/03,TXO,202301W1,12600.0000,買權,-,-,-,-,0,1650,0,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,12600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,12600.0000,賣權,-,-,-,-,0,0.1,1,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,12600.0000,賣權,0.2,0.2,0.2,0.2,1,-,-,0.2,0.9,0.8,0.1,,盤後,0.1,-,
2023/01/03,TXO,202301W1,12700.0000,買權,-,-,-,-,0,1550,0,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,12700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,12700.0000,賣權,0.4,0.4,0.2,0.4,58,0.2,505,-,0.4,5,0.2,,一般,0.2,100%,
2023/01/03,TXO,202301W1,12700.0000,賣權,1,1,1,1,5,-,-,0.2,1,5,0.2,,盤後,0.8,400%,
2023/01/03,TXO,202301W1,12800.0000,買權,-,-,-,-,0,1450,1,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,12800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,12800.0000,賣權,0.4,0.4,0.4,0.4,1,0.2,114,-,0.4,7,0.4,,一般,0,0.00%,
2023/01/03,TXO,202301W1,12800.0000,賣權,0.4,0.4,0.4,0.4,1,-,-,0.2,1.5,7,0.4,,盤後,0,0.00%,
2023/01/03,TXO,202301W1,12900.0000,買權,-,-,-,-,0,1350,1,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,12900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,12900.0000,賣權,0.2,0.4,0.1,0.2,71,0.2,510,0.1,0.4,8.3,0.1,,一般,-0.3,-60%,
2023/01/03,TXO,202301W1,12900.0000,賣權,0.5,0.5,0.5,0.5,2,-,-,0.2,1.6,8.3,0.5,,盤後,0,0.00%,
2023/01/03,TXO,202301W1,13000.0000,買權,-,-,-,-,0,1250,1,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,13000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13000.0000,賣權,0.2,0.4,0.1,0.2,22,0.2,344,0.1,0.4,10,0.1,,一般,-0.4,-66.67%,
2023/01/03,TXO,202301W1,13000.0000,賣權,0.4,0.4,0.4,0.4,1,-,-,0.4,1.3,10,0.4,,盤後,-0.2,-33.33%,
2023/01/03,TXO,202301W1,13100.0000,買權,-,-,-,-,0,1150,0,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,13100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13100.0000,賣權,0.2,0.2,0.1,0.2,19,0.2,324,0.1,0.4,11,0.1,,一般,-0.5,-71.43%,
2023/01/03,TXO,202301W1,13100.0000,賣權,0.7,0.7,0.7,0.7,6,-,-,0.2,1.3,11,0.5,,盤後,0,0.00%,
2023/01/03,TXO,202301W1,13200.0000,買權,-,-,-,-,0,1050,3,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,13200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13200.0000,賣權,0.5,0.5,0.2,0.2,263,0.2,2467,0.1,0.4,16,0.2,,一般,-0.7,-77.78%,
2023/01/03,TXO,202301W1,13200.0000,賣權,1,1.3,0.8,0.8,165,-,-,0.5,0.9,16,0.7,,盤後,-0.1,-11.11%,
2023/01/03,TXO,202301W1,13300.0000,買權,-,-,-,-,0,950,0,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,13300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13300.0000,賣權,0.4,0.6,0.1,0.3,250,0.3,1094,0.1,0.4,23,0.1,,一般,-0.8,-72.73%,
2023/01/03,TXO,202301W1,13300.0000,賣權,1.3,1.7,0.6,0.7,185,-,-,0.6,1.3,23,0.6,,盤後,-0.4,-36.36%,
2023/01/03,TXO,202301W1,13400.0000,買權,-,-,-,-,0,850,1,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,13400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13400.0000,賣權,1.4,1.4,0.2,0.3,343,0.3,3011,0.2,0.4,29,0.2,,一般,-1.2,-80%,
2023/01/03,TXO,202301W1,13400.0000,賣權,1.7,2.5,0.7,1.7,777,-,-,0.6,1.5,29,0.7,,盤後,0.2,13.33%,
2023/01/03,TXO,202301W1,13500.0000,買權,-,-,-,-,0,750,10,-,-,-,-,,一般,-,-,
2023/01/03,TXO,202301W1,13500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13500.0000,賣權,0.8,1.3,0.3,0.4,2853,0.4,4765,0.3,0.4,37,0.3,,一般,-1.4,-77.78%,
2023/01/03,TXO,202301W1,13500.0000,賣權,2.7,3.9,1.3,1.3,853,-,-,1.3,1.5,37,1.3,,盤後,-0.5,-27.78%,
2023/01/03,TXO,202301W1,13600.0000,買權,510,570,505,570,10,650,14,565,730,635,393,,一般,10,1.79%,
2023/01/03,TXO,202301W1,13600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/01/03,TXO,202301W1,13600.0000,賣權,1.9,2.6,0.4,0.4,2948,0.4,4616,0.4,0.6,46.5,0.4,,一般,-3.4,-89.47%,
2023/01/03,TXO,202301W1,13600.0000,賣權,3.4,6.3,1.8,1.9,1158,-,-,1.8,1.9,46.5,1.8,,盤後,-1.9,-50%,
2023/01/03,TXO,202301W1,13700.0000,買權,360,505,299,505,20,550,27,464,630,525,299,,一般,44,9.54%,
2023/01/03,TXO,202301W1,13700.0000,買權,451,451,357,365,6,-,-,191,-,525,324,,盤後,-96,-20.82%,
2023/01/03,TXO,202301W1,13700.0000,賣權,3,6.4,0.5,0.6,4973,0.6,4725,0.6,0.7,61,0.5,,一般,-5.7,-90.48%,
2023/01/03,TXO,202301W1,13700.0000,賣權,6.1,11.5,3.2,4,2579,-,-,3.2,4.4,61,3.2,,盤後,-2.3,-36.51%,
2023/01/03,TXO,202301W1,13750.0000,買權,298,474,298,474,21,500,10,414,580,520,266,,一般,61,14.77%,
2023/01/03,TXO,202301W1,13750.0000,買權,381,397,381,397,2,-,-,101,-,520,266,,盤後,-16,-3.87%,
2023/01/03,TXO,202301W1,13750.0000,賣權,4.5,9.7,0.6,0.9,15530,0.9,3791,0.6,0.7,70,0.6,,一般,-7.5,-89.29%,
2023/01/03,TXO,202301W1,13750.0000,賣權,8.4,15.5,4.1,5.1,2774,-,-,5,5.4,70,4.1,,盤後,-3.3,-39.29%,
2023/01/03,TXO,202301W1,13800.0000,買權,284,452,209,451,563,451,260,364,487,471,209,,一般,84,22.89%,
2023/01/03,TXO,202301W1,13800.0000,買權,340,362,262,262,36,-,-,200,485,471,228,,盤後,-105,-28.61%,
2023/01/03,TXO,202301W1,13800.0000,賣權,7.4,15.5,0.8,1,19504,1,7326,0.9,1,81,0.8,,一般,-11,-91.67%,
