交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,漲跌價,漲跌%
2023/06/01,TXO,202306W1,14500.0000,買權,-,-,-,-,0,2030,1,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14500.0000,買權,2060,2060,2060,2060,1,-,-,-,-,2060,2060,,盤後,10,0.49%,
2023/06/01,TXO,202306W1,14500.0000,賣權,-,-,-,-,0,0.4,121,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14600.0000,買權,-,-,-,-,0,1930,0,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14600.0000,賣權,0.8,0.8,0.6,0.6,47,0.6,137,0.1,0.9,4.3,0.6,,一般,-1.1,-64.71%,
2023/06/01,TXO,202306W1,14600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14700.0000,買權,-,-,-,-,0,1830,0,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14700.0000,賣權,0.7,0.7,0.7,0.7,50,0.7,570,0.3,0.7,5.2,0.7,,一般,-1.1,-61.11%,
2023/06/01,TXO,202306W1,14700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14800.0000,買權,-,-,-,-,0,1730,0,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14800.0000,賣權,-,-,-,-,0,0.7,113,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14800.0000,賣權,1.4,1.4,1,1.2,37,-,-,0.3,1.4,6,1,,盤後,-0.6,-33.33%,
2023/06/01,TXO,202306W1,14900.0000,買權,-,-,-,-,0,1630,0,-,-,-,-,,一般,-,-,
2023/06/01,TXO,202306W1,14900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,-,-,
2023/06/01,TXO,202306W1,14900.0000,賣權,1,1,1,1,184,0.7,318,0.3,0.9,6.8,0.3,,一般,-0.8,-44.44%,
2023/06/01,TXO,202306W1,14900.0000,賣權,1.5,1.5,1,1.1,127,-,-,0.8,1.4,6.8,0.3,,盤後,-0.7,-38.89%,
