Date,SMA,WMA,MOM,K,D,RSI,MACD,WILLR,AD,CCI
2003/08/15,-1.5418094437573382,-1.5170100476974178,0.2978598474737747,0.9196706781195484,-0.6570309548894067,0.9829408631278564,0.32405611401463497,0.9196706781195482,0.7068022130013627,1.160861736176065
2003/08/18,-1.529790899665089,-1.4860821202062449,0.43729220838189786,1.1575364854978984,-0.49685901005586297,1.0935942465479682,0.41453155503659417,1.1575364854978982,-0.3684028164637145,0.9548725751965941
2003/08/19,-1.5080359660818767,-1.4580651245995602,0.8183893572148669,0.7442892452832199,-0.1521083462066098,1.0495763704048915,0.47675099149189654,0.7442892452832198,1.0212566532056422,0.8042515175797851
2003/08/20,-1.4806793802955083,-1.429081156888459,1.0376465762649227,0.9760376427699138,0.19842023175699416,1.1864796162579543,0.5415077731031399,0.9760376427699136,0.02553256575580535,0.6913117313879634
2003/08/21,-1.4503089041813015,-1.3943895655178202,1.1556148448824506,1.352151051940439,0.5365612229273317,1.451199412253041,0.6333982142750673,1.3521510519404387,-1.468599789999118,0.7516408073133078
2003/08/22,-1.4146630439114245,-1.3597791941701938,1.3621014344534883,1.0774958825467302,0.8732028385857414,1.5705707128730582,0.7219444805042634,1.07749588254673,0.6404604076549701,0.9962732073688486
2003/08/25,-1.37400866780968,-1.3253530154373752,1.5581423904137213,1.3121707603021826,1.2377714128492079,1.700538025291871,0.8107089763621721,1.3121707603021824,-1.4780220338213605,1.0173448327683268
2003/08/26,-1.3479235804563932,-1.318442271282814,0.9878781864482755,0.2404786273264375,1.3646267680788255,0.4844334881571886,0.7798844725852822,0.24047862732643766,1.0314967036831881,0.2976854293289394
2003/08/27,-1.3383541988841963,-1.317027728338677,0.34142824830852647,-0.17297617595895276,1.1714203768078122,0.4460415714072983,0.7427781687847798,-0.17297617595895273,1.056314731411738,0.04442271125812566
2003/08/28,-1.330918903036853,-1.3220960768652572,0.2578968750143679,-1.0211798345444143,0.9132132592531026,0.1972056982076949,0.6832444220171043,-1.0211798345444143,0.9610156422078155,-0.4479796788463797
2003/08/29,-1.3169651331642607,-1.3085302986093166,0.5130398998563896,0.7402109615512372,0.888327907009242,0.8556187634526153,0.7179628490849873,0.7402109615512373,-1.3198708465582794,0.43356469137078096
2003/09/01,-1.3019008467184288,-1.2910911546701884,0.5565072139142604,0.8833460240721245,0.8503064148049472,1.0229768715713248,0.7651133646369253,0.883346024072124,-0.1374300212971262,1.113791961721798
2003/09/02,-1.2843572674579218,-1.272609608855754,0.6535505197178823,1.2073232633427444,0.9145144992745071,1.1196258281996285,0.8096503299882101,1.2073232633427442,-1.4780220338213605,0.933673457903741
2003/09/03,-1.273203032388567,-1.264010458481003,0.4034618337198022,0.333913611715415,0.8254723286826673,0.7296161551741245,0.804556155105682,0.33391361171541495,1.4373501640877189,0.7397647282798108
2003/09/04,-1.272017620511551,-1.2648802482457462,0.013266874967741192,-0.2513071560691124,0.6031236975934264,0.3304203312207084,0.757273172049441,-0.2513071560691126,1.4042080929724345,0.04233439595876269
2003/09/05,-1.272671017472085,-1.2638685190573578,-0.05870691016994653,-0.08638689763982915,0.4417301909649831,0.4095431712660925,0.7203449620312493,-0.08638689763982914,0.825820336352731,0.11739006894305042
2003/09/08,-1.26921378138051,-1.248969730866894,0.10218954302876578,0.9964253662862032,0.3979463518967135,0.8727851353297839,0.7444069540845183,0.9964253662862027,-0.9678574252603589,0.587350171773249
2003/09/09,-1.2586733434558992,-1.2419481894555067,0.37943687641494395,0.09907700238663172,0.37833844594562066,0.47095958634045604,0.7215177166145905,0.09907700238663147,1.437350174982537,0.7744714292446996
2003/09/10,-1.252647284531342,-1.245803558409125,0.20273719043085162,-0.4992792067589064,0.3330905986015334,0.026259408326315417,0.6544094058777286,-0.4992792067589063,0.42585592141640943,-0.5695399211909024
2003/09/12,-1.242130950842429,-1.247335001848811,0.3784933998307429,-0.509117335729415,0.40409737325578954,0.16506864564953594,0.6090641677441392,-0.5091173357294151,-0.9858582084837995,-0.8500119781034706
2003/09/15,-1.244507800655387,-1.2542304096599137,-0.12616548594037888,-1.2705163308669938,0.12527347954299173,-0.012163026900783556,0.5504019489203585,-1.2705163308669933,0.3278405668431169,-1.0289035090452219
2003/09/16,-1.2438647340815803,-1.2487939888903188,-0.007961348176801566,-0.14660753560466022,-0.017548305855395876,0.4723019161808986,0.5509744150963206,-0.14660753560465997,-1.4780220338213605,-0.12939134355836118
2003/09/17,-1.24117969439791,-1.2359815693834733,0.07196459674201511,0.5610825369513721,-0.10716133109638955,0.7298405487772159,0.578142656518465,0.5610825369513719,0.6964121737895054,1.3221423679163722
2003/09/18,-1.2344967950505763,-1.223082922067996,0.22844692735035302,0.615326951451804,-0.06813825550384806,0.7494406840848941,0.594742850038826,0.6153269514518039,-1.1010259921303513,0.8133505158392208
2003/09/19,-1.2231092654142837,-1.2102880298108187,0.4125933392311817,0.6228442390753941,0.05307872733002753,0.7904839090157652,0.6052865857467324,0.6228442390753937,0.9317320980307858,1.0013001289277617
2003/09/22,-1.2199481670755736,-1.212420720511416,0.09059825928000126,-0.5434699505310215,-0.01030414763158929,0.0003948947685792898,0.5481830854378396,-0.5434699505310214,1.437350160064678,-0.026598750445436803
2003/09/23,-1.2236498889863723,-1.2138354199488537,-0.17802300247919006,-0.42621392319230117,-0.20757894841481694,0.06262853602301187,0.5023282560975774,-0.4262139231923011,-1.3184094793761285,-0.413914509438306
